"municipio","total_beneficiarios"
"Palmas","127764"
"Araguaína","37844"
"Gurupi","18222"
"Porto Nacional","15835"
"Paraíso do Tocantins","7718"
"Colinas do Tocantins","4802"
"Pedro Afonso","4691"
"Guaraí","3958"
"Dianópolis","2829"
"Miracema do Tocantins","2699"
"Araguatins","2479"
"Xambioá","2374"
"Tocantinópolis","2182"
"Taguatinga","2174"
"Formoso do Araguaia","2098"
"Alvorada","1742"
"Almas","1277"
"Natividade","1228"
"Arraias","1167"
"Augustinópolis","1145"
"Miranorte","1141"
"Lagoa da Confusão","1020"
"Araguaçu","975"
"Bom Jesus do Tocantins","935"
"Bandeirantes do Tocantins","833"
"Colméia","673"
"Campos Lindos","672"
"Peixe","637"
"Palmeirópolis","634"
"Figueirópolis","584"
"Nova Olinda","579"
"Cristalândia","563"
"Arapoema","537"
"Tupirama","537"
"Wanderlândia","530"
"Ananás","528"
"Sítio Novo do Tocantins","514"
"Axixá do Tocantins","454"
"Goiatins","446"
"Aliança do Tocantins","436"
"São Miguel do Tocantins","424"
"Ponte Alta do Tocantins","409"
"Paranã","409"
"Divinópolis do Tocantins","405"
"Monte do Carmo","376"
"Cachoeirinha","375"
"Palmeirante","371"
"Itacajá","370"
"Babaçulândia","360"
"Nova Rosalândia","348"
"Filadélfia","347"
"Santa Fé do Araguaia","344"
"Silvanópolis","335"
"Tocantínia","332"
"Combinado","322"
"Buriti do Tocantins","321"
"Rio Sono","315"
"Barrolândia","314"
"Araguacema","306"
"Cariri do Tocantins","301"
"Pequizeiro","300"
"Pium","297"
"Riachinho","297"
"Lajeado","296"
"Brejinho de Nazaré","293"
"Santa Rosa do Tocantins","277"
"Novo Acordo","274"
"Caseara","272"
"Ponte Alta do Bom Jesus","272"
"Aparecida do Rio Negro","272"
"São Valério","269"
"Fátima","262"
"Dois Irmãos do Tocantins","260"
"Marianópolis do Tocantins","259"
"Nazaré","250"
"Presidente Kennedy","219"
"Bernardo Sayão","216"
"Sandolândia","215"
"Conceição do Tocantins","214"
"Goianorte","210"
"Aurora do Tocantins","205"
"Aguiarnópolis","202"
"Aragominas","201"
"Darcinópolis","196"
"Fortaleza do Tabocão","193"
"Couto Magalhães","192"
"Pindorama do Tocantins","187"
"Palmeiras do Tocantins","183"
"Talismã","183"
"Itaguatins","174"
"Dueré","170"
"Novo Alegre","163"
"Carmolândia","163"
"Pau D'Arco","155"
"São Sebastião do Tocantins","154"
"Piraquê","152"
"Porto Alegre do Tocantins","152"
"Araguanã","143"
"Santa Tereza do Tocantins","143"
"Angico","141"
"Sampaio","140"
"Itapiratins","138"
"Santa Maria do Tocantins","130"
"Luzinópolis","127"
"Esperantina","124"
"Recursolândia","121"
"Barra do Ouro","120"
"São Salvador do Tocantins","117"
"Lizarda","115"
"Novo Jardim","114"
"Rio da Conceição","110"
"Abreulândia","107"
"São Bento do Tocantins","105"
"Jaú do Tocantins","105"
"Itaporã do Tocantins","101"
"Oliveira de Fátima","98"
"Praia Norte","98"
"São Félix do Tocantins","97"
"Santa Terezinha do Tocantins","91"
"Muricilândia","88"
"Chapada da Natividade","87"
"Lagoa do Tocantins","87"
"Mateiros","82"
"Tupiratins","80"
"Pugmil","78"
"Centenário","77"
"Sucupira","77"
"Taipas do Tocantins","71"
"Maurilândia do Tocantins","70"
"Lavandeira","63"
"Juarina","50"
"Rio dos Bois","50"
"Carrasco Bonito","49"
"Brasilândia do Tocantins","49"
"Crixás do Tocantins","46"
"Ipueiras","38"
"Monte Santo do Tocantins","37"
"Santa Rita do Tocantins","34"
"Chapada de Areia","26"
"Município ignorado - TO","8"
